Characters,Curtis,Isaac,Justin,Jun,Eric,Notes,Dan,Average,Variance,,Tiers,Points,,,,,,,
Miki Hoshii,C,B,A,A,A,S,S,3.86,1.14,,S,5,2,3,4,4,4,5,5
Chihaya Kisaragi,C,C,B,S,C,S,S,3.43,2.29,,A,4,2,2,3,5,2,5,5
Haruka Amami,D,B,D,S,D,B,D,2.14,2.48,,B,3,1,3,1,5,1,3,1
Ami Futami,D,C,D,B,D,C,No.,1.43,0.95,,C,2,1,2,1,3,1,2,0
Mami Futami,D,C,D,B,D,B,No.,1.57,1.29,,D,1,1,2,1,3,1,3,0
Yukiho Hagiwara,B,C,S,A,C,A,No.,2.86,2.81,,No.,0,3,2,5,4,2,4,0
Azusa Miura,A,A,A,A,B,B,B,3.57,0.29,,,,4,4,4,4,3,3,3
Makoto Kikuchi,S,A,D,S,A,S,A,4.00,2.00,,,,5,4,1,5,4,5,4
Hibiki Gamaha,A,C,A,A,A,A,B,3.57,0.62,,,,4,2,4,4,4,4,3
Yaoyoi Takatsuki,A,A,C,S,C,S,S,3.86,1.81,,,,4,4,2,5,2,5,5
Ritsuko Akizuki,S,S,S,A,S,S,B,4.57,0.62,,,,5,5,5,4,5,5,3
Iori Minase,A,A,C,A,A,B,A,3.57,0.62,,,,4,4,2,4,4,3,4
Takane Shijou,B,C,S,B,B,A,B,3.29,0.90,,,,3,2,5,3,3,4,3
Teru Tendo,B,B,C,No.,B,S,B,2.71,2.24,,,,3,3,2,0,3,5,3
Kaoru Sakuraba,C,D,D,No.,D,D,D,1.00,0.33,,,,2,1,1,0,1,1,1
Tsubasa Kashiwagi,D,D,S,No.,B,A,C,2.29,3.24,,,,1,1,5,0,3,4,2
Kyoji Takajo,D,D,B,No.,D,B,B,1.71,1.57,,,,1,1,3,0,1,3,3
Pierre,D,No.,D,No.,No.,B,No.,0.71,1.24,,,,1,0,1,0,0,3,0
Minori Watanabe,B,S,A,No.,A,S,A,3.57,2.95,,,,3,5,4,0,4,5,4
Michio Hazama,S,B,B,No.,C,B,D,2.43,2.62,,,,5,3,3,0,2,3,1
Rui Maita,A,A,B,No.,B,C,C,2.57,1.95,,,,4,4,3,0,3,2,2
Jiro Yamashita,A,D,D,No.,D,A,No.,1.57,2.95,,,,4,1,1,0,1,4,0
Shiki Iseya,A,B,S,No.,B,B,C,2.86,2.48,,,,4,3,5,0,3,3,2
Hayato Akiyama,A,B,S,No.,B,B,C,2.86,2.48,,,,4,3,5,0,3,3,2
Haruna Wakazato,C,B,S,No.,C,C,B,2.43,2.29,,,,2,3,5,0,2,2,3
Jun Fuyumi,S,A,No.,No.,A,A,D,2.57,4.62,,,,5,4,0,0,4,4,1
Natsuki Sakaki,S,C,S,No.,A,S,B,3.43,3.62,,,,5,2,5,0,4,5,3
Kyosuke Aoi,S,C,B,No.,B,B,C,2.57,2.29,,,,5,2,3,0,3,3,2
Touma Amagase,B,B,B,No.,C,B,S,2.71,2.24,,,,3,3,3,0,2,3,5
Hokuto Ijuuin,A,S,D,No.,D,D,B,2.14,3.48,,,,4,5,1,0,1,1,3
Shouta Mitarai,C,C,B,No.,S,S,C,2.71,3.24,,,,2,2,3,0,5,5,2
Anzu Futaba,B,B,D,B,A,C,D,2.43,1.29,,,,3,3,1,3,4,2,1
Chieri Ogata,D,B,S,S,B,B,C,3.14,2.14,,,,1,3,5,5,3,3,2
Kanako Mimura,C,S,S,S,S,S,C,4.14,2.14,,,,2,5,5,5,5,5,2
Miku Maekawa,C,S,D,S,B,A,C,3.14,2.48,,,,2,5,1,5,3,4,2
Uzuki Shimamura,S,C,A,S,B,B,B,3.57,1.29,,,,5,2,4,5,3,3,3
Ranko Kanzaki,S,S,S,S,C,S,S,4.57,1.29,,,,5,5,5,5,2,5,5
Riina Tada,S,A,A,A,A,A,B,4.00,0.33,,,,5,4,4,4,4,4,3
Anastasia,S,S,S,S,S,S,S,5.00,0.00,,,,5,5,5,5,5,5,5
Minami Nitta,B,D,A,A,D,C,B,2.57,1.62,,,,3,1,4,4,1,2,3
Rin Shibuya,A,A,A,S,A,A,S,4.29,0.24,,,,4,4,4,5,4,4,5
Kirari Moroboshi,D,S,S,A,S,S,A,4.14,2.14,,,,1,5,5,4,5,5,4
Rika Jougasaki,No.,No.,S,A,A,No.,No.,1.86,5.48,,,,0,0,5,4,4,0,0
Miria Akagi,No.,No.,No.,S,D,No.,C,1.14,3.48,,,,0,0,0,5,1,0,2
Mio Honda,S,B,D,S,A,A,B,3.57,1.95,,,,5,3,1,5,4,4,3
Ai Hidaka,A,D,B,No.,D,B,D,1.86,2.14,,,,4,1,3,0,1,3,1
Eri Mizutani,A,A,A,No.,B,A,D,2.86,2.81,,,,4,4,4,0,3,4,1
Ryo Akizuki,B,A,B,No.,C,A,C,2.57,1.95,,,,3,4,3,0,2,4,2
Kotoha Tanaka,B,B,S,S,C,B,B,3.43,1.29,,,,3,3,5,5,2,3,3
Matsuri Tokugawa,S,S,A,S,B,S,B,4.29,0.90,,,,5,5,4,5,3,5,3
Emily Stewart,B,B,S,S,A,A,A,4.00,0.67,,,,3,3,5,5,4,4,4
Fuka Toyokawa,A,S,S,A,B,S,B,4.14,0.81,,,,4,5,5,4,3,5,3
Kana Yabuki,A,B,B,A,C,B,B,3.14,0.48,,,,4,3,3,4,2,3,3
Minako Satake,S,A,S,S,B,S,C,4.14,1.48,,,,5,4,5,5,3,5,2
Nao Yokoyama,C,C,B,S,C,S,C,3.00,2.00,,,,2,2,3,5,2,5,2
Yuriko Nanao,S,B,S,S,S,A,A,4.43,0.62,,,,5,3,5,5,5,4,4
Shiho Kitazawa,C,A,S,S,C,A,S,3.86,1.81,,,,2,4,5,5,2,4,5
Anna Mochizuki,C,D,S,S,C,S,A,3.43,2.95,,,,2,1,5,5,2,5,4
Serika Hakozaki,C,C,A,S,B,S,C,3.29,1.90,,,,2,2,4,5,3,5,2
Saki Mizushima,S,S,S,No.,S,S,C,3.86,4.14,,,,5,5,5,0,5,5,2
Hideo Akuno,D,D,D,No.,D,D,S,1.43,2.62,,,,1,1,1,0,1,1,5
Seiji Shingen,D,C,B,No.,B,D,B,1.86,1.48,,,,1,2,3,0,3,1,3
Takeru Taiga,S,B,C,No.,B,S,C,2.86,3.14,,,,5,3,2,0,3,5,2
Shiro Tachibana,No.,No.,No.,No.,No.,No.,No.,0.00,0.00,,,,0,0,0,0,0,0,0
Sora Kitamura,D,B,A,No.,B,B,C,2.29,1.90,,,,1,3,4,0,3,3,2
Mika Jougasaki,S,S,S,S,S,S,S,5.00,0.00,,,,5,5,5,5,5,5,5
Riamu Yumemi,S,S,S,C,S,S,D,4.00,3.00,,,,5,5,5,2,5,5,1
Producer (OG),D,C,C,C,C,B,No.,1.71,0.90,,,,1,2,2,2,2,3,0
Producer (Cindem@s),A,A,A,S,C,D,S,3.57,2.29,,,,4,4,4,5,2,1,5
Producer (Side M),A,S,A,No.,A,S,S,3.86,3.14,,,,4,5,4,0,4,5,5
